Resource_ID,Account,Region,Owner,Environment,CPU_Utilization,Memory_Utilization,Disk_Utilization,Purchase_Type,Status,Tags_Present,Tag_Completeness_%,Tag_Status
VM100262,ACCT1054,us-east-1,Charlie,Dev,38,42,72,SPOT,Running,6,100.0,Excellent
VM100263,ACCT1010,us-east-1,Bob,Prod,24,17,81,ON_DEMAND,Running,6,100.0,Excellent
VM100264,ACCT1070,eu-west-1,Charlie,Prod,39,39,92,SPOT,Running,6,100.0,Excellent
VM100265,ACCT1089,eu-west-1,Alice,Prod,75,50,23,ON_DEMAND,Running,6,100.0,Excellent
VM100266,ACCT1018,us-east-1,Charlie,QA,63,57,48,ON_DEMAND,Running,6,100.0,Excellent
VM100267,ACCT1014,ap-south-1,Bob,Prod,29,29,76,SPOT,Running,6,100.0,Excellent
VM100268,ACCT1089,us-east-1,Alice,QA,59,14,19,ON_DEMAND,Running,6,100.0,Excellent
VM100269,ACCT1003,eu-west-1,Charlie,QA,89,51,22,RESERVED,Running,6,100.0,Excellent
VM100270,ACCT1077,us-east-1,Charlie,Dev,91,43,8,SPOT,Running,6,100.0,Excellent
VM100271,ACCT1016,ap-south-1,Bob,Prod,19,93,34,RESERVED,Running,6,100.0,Excellent
VM100272,ACCT1017,ap-south-1,Bob,Dev,55,93,19,ON_DEMAND,Running,6,100.0,Excellent
VM100273,ACCT1003,eu-west-1,David,Dev,26,18,9,SPOT,Running,6,100.0,Excellent
VM100274,ACCT1066,us-east-1,Alice,QA,16,37,10,ON_DEMAND,Running,6,100.0,Excellent
VM100275,ACCT1039,us-east-1,Alice,Dev,16,82,31,SPOT,Running,6,100.0,Excellent
VM100276,ACCT1026,ap-south-1,Charlie,Dev,12,23,40,SPOT,Running,6,100.0,Excellent
VM100277,ACCT1045,eu-west-1,Bob,Prod,94,83,35,SPOT,Running,6,100.0,Excellent
VM100278,ACCT1073,ap-south-1,Alice,Prod,2,72,32,SPOT,Running,6,100.0,Excellent
VM100279,ACCT1025,eu-west-1,Bob,Prod,1,17,32,SPOT,Running,6,100.0,Excellent
VM100280,ACCT1091,eu-west-1,Charlie,Prod,76,28,61,SPOT,Running,6,100.0,Excellent
VM100281,ACCT1014,ap-south-1,Charlie,QA,55,32,70,ON_DEMAND,Running,6,100.0,Excellent
VM100282,ACCT1053,ap-south-1,Charlie,Dev,60,19,71,ON_DEMAND,Running,6,100.0,Excellent
VM100283,ACCT1064,eu-west-1,Charlie,Prod,93,10,15,RESERVED,Running,6,100.0,Excellent
VM100284,ACCT1064,ap-south-1,David,QA,59,81,44,SPOT,Running,6,100.0,Excellent
VM100285,ACCT1057,ap-south-1,David,QA,55,29,13,RESERVED,Running,6,100.0,Excellent
VM100286,ACCT1087,eu-west-1,Bob,Dev,87,67,91,ON_DEMAND,Running,6,100.0,Excellent
VM100287,ACCT1051,eu-west-1,Alice,Dev,19,55,56,SPOT,Running,6,100.0,Excellent
VM100288,ACCT1076,ap-south-1,Bob,Dev,47,30,48,ON_DEMAND,Running,6,100.0,Excellent
VM100289,ACCT1077,eu-west-1,Alice,Dev,55,68,40,SPOT,Running,6,100.0,Excellent
VM100290,ACCT1099,us-east-1,Charlie,Prod,52,50,65,SPOT,Running,6,100.0,Excellent
VM100291,ACCT1078,eu-west-1,David,Prod,36,23,63,ON_DEMAND,Running,6,100.0,Excellent
VM100292,ACCT1016,eu-west-1,David,QA,30,85,22,ON_DEMAND,Running,6,100.0,Excellent
VM100293,ACCT1013,us-east-1,Alice,Dev,64,91,8,ON_DEMAND,Running,6,100.0,Excellent
VM100294,ACCT1049,us-east-1,Charlie,Dev,39,84,84,ON_DEMAND,Running,6,100.0,Excellent
VM100295,ACCT1098,ap-south-1,David,QA,26,42,89,RESERVED,Running,6,100.0,Excellent
VM100296,ACCT1063,us-east-1,Charlie,Prod,44,74,74,ON_DEMAND,Running,6,100.0,Excellent
VM100297,ACCT1098,ap-south-1,David,Dev,50,62,45,RESERVED,Running,6,100.0,Excellent
VM100298,ACCT1057,eu-west-1,Alice,Dev,23,76,89,RESERVED,Running,6,100.0,Excellent
VM100299,ACCT1091,ap-south-1,David,QA,18,44,54,RESERVED,Running,6,100.0,Excellent
VM100300,ACCT1098,ap-south-1,David,Prod,71,92,74,SPOT,Running,6,100.0,Excellent
VM100002, ACCT1085 , ap-south-1 , Alice , Dev ,120,-5,150, ON_DEMAND , Running ,6,100.0,Excellent
